id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_age_below_6_percentage,inhabitants_with_migration_background_age_6_15_percentage,inhabitants_with_migration_background_age_15_18_percentage,inhabitants_with_migration_background_age_18_27_percentage,inhabitants_with_migration_background_age_27_45_percentage,inhabitants_with_migration_background_age_45_55_percentage,inhabitants_with_migration_background_age_55_65_percentage,inhabitants_with_migration_background_age_above_65_percentage,inhabitants_with_migration_background_female_percentage,inhabitants_foreigners_percentage
01401043,5184,326,571,232,785,1495,732,580,463,2483,3157,100.0,6.288580246913581,11.014660493827162,4.4753086419753085,15.142746913580247,28.838734567901238,14.120370370370368,11.188271604938272,8.931327160493826,47.89737654320987,60.898919753086425
01401044,6884,543,804,241,807,2485,917,596,491,3202,4449,100.0,7.887855897733875,11.67925624636839,3.5008715862870425,11.722835560720512,36.09819872167345,13.320743753631609,8.657757117954677,7.132481115630447,46.51365485183033,64.62812318419525
01401045,4014,321,488,154,541,1347,530,363,270,1904,2468,100.0,7.997010463378176,12.157448928749377,3.8365719980069755,13.477827603388143,33.5575485799701,13.203786746387644,9.043348281016444,6.726457399103139,47.43398106626806,61.48480318883907
01401046,4390,310,363,117,676,1768,505,374,277,2011,2789,100.0,7.061503416856492,8.268792710706151,2.665148063781321,15.398633257403189,40.27334851936219,11.503416856492027,8.519362186788156,6.309794988610479,45.80865603644647,63.53075170842825
01401047,5449,335,469,158,1100,2146,589,371,281,2448,3942,100.0,6.147917048999816,8.607083868599744,2.8996146081849883,20.18719031014865,39.383373095980915,10.80932281152505,6.808588731877409,5.156909524683428,44.92567443567627,72.34354927509635
01401048,5587,330,512,175,871,2036,696,531,436,2601,3608,100.0,5.906568820476106,9.164131018435654,3.132271344191874,15.589761947377841,36.44173975299803,12.457490603185969,9.504206192947914,7.803830320386612,46.55450152138894,64.57848577053875
01401049,4028,289,416,134,440,1314,551,407,477,1926,2733,100.0,7.174776564051638,10.327706057596822,3.326713008937438,10.923535253227408,32.62164846077458,13.679245283018867,10.104270109235353,11.842105263157894,47.81529294935452,67.85004965243296
02100101,4364,317,453,165,486,1667,584,411,281,2108,2532,100.0,7.2639780018331805,10.38038496791934,3.7809349220898256,11.136571952337306,38.19890009165903,13.382218148487626,9.417965169569202,6.439046746104491,48.30430797433547,58.020164986251146
02100102,6138,471,782,292,706,1905,830,590,562,3079,3071,100.0,7.6735092864125125,12.740306288693384,4.757249918540241,11.502117953730858,31.036168132942326,13.522319973932879,9.612251547735418,9.156076898012381,50.16291951775823,50.03258390355164
02100103,3418,288,451,154,322,1061,494,350,298,1678,1685,100.0,8.42598010532475,13.194850789935636,4.505558806319486,9.420713867758923,31.041544763019306,14.452896430661205,10.23990637799883,8.71854885898186,49.09303686366296,49.29783499122294
02100104,3891,316,489,164,420,1178,582,415,327,1919,2121,100.0,8.121305576972501,12.567463377023902,4.214854793112311,10.79414032382421,30.274993574916476,14.957594448727834,10.665638653302494,8.404009252120277,49.3189411462349,54.51040863531226
02100105,6779,513,823,277,665,2162,982,686,671,3339,3280,100.0,7.567487830063431,12.140433692284997,4.086148399468948,9.809706446378522,31.892609529429116,14.485912376456705,10.119486649948369,9.898215075969908,49.25505236760584,48.38471750995722
02100106,3263,211,401,154,369,986,475,354,313,1570,1622,100.0,6.466441924609255,12.28930432117683,4.719583205638982,11.308611707018082,30.217591173766472,14.557155991418941,10.848912044131168,9.59239963224027,48.11523138216366,49.70885688017162
02200207,922,102,127,23,63,428,78,41,60,417,532,100.0,11.062906724511931,13.774403470715836,2.4945770065075923,6.832971800433839,46.420824295010846,8.459869848156181,4.4468546637744035,6.507592190889371,45.22776572668113,57.70065075921909
02200208,2610,179,237,101,286,968,316,268,255,1254,1643,100.0,6.85823754789272,9.080459770114944,3.8697318007662838,10.957854406130268,37.088122605363985,12.107279693486591,10.268199233716475,9.770114942528735,48.04597701149425,62.95019157088123
02200209,4476,382,410,105,426,1843,648,372,290,2149,2680,100.0,8.534405719392314,9.159964253798034,2.3458445040214477,9.517426273458444,41.1751563896336,14.47721179624665,8.310991957104557,6.4789991063449515,48.01161751563897,59.87488829311886
02200210,5373,375,424,128,566,2247,705,474,454,2573,3342,100.0,6.979341150195421,7.891308393820956,2.382281779266704,10.534152242694956,41.820212171970965,13.121161362367392,8.821887213847013,8.449655685836591,47.88758607854085,62.1998883305416
02200211,6228,427,458,184,700,2327,924,661,547,3072,3676,100.0,6.856133590237637,7.353885677585099,2.954399486191394,11.23956326268465,37.36351958895312,14.836223506743737,10.613359023763648,8.782915863840719,49.32562620423892,59.023763648041104
02200212,4338,318,490,163,452,1574,619,401,321,2105,2307,100.0,7.330567081604427,11.295527893038267,3.7574919317657907,10.419548178884279,36.28400184416782,14.269248501613646,9.243891194098664,7.39972337482711,48.524665744582755,53.18118948824343
02200213,4652,279,403,133,446,2053,601,365,372,2287,2966,100.0,5.9974204643164235,8.662940670679278,2.8589853826311264,9.587274290627686,44.131556319862426,12.919174548581255,7.846087704213242,7.996560619088563,49.161650902837486,63.75752364574376
02300314,4574,232,394,159,449,1478,728,534,600,2177,2738,100.0,5.072146917358985,8.613904678618276,3.4761696545693046,9.816353301268038,32.313073895933535,15.916047223436816,11.674682990817665,13.117621337997376,47.59510275470048,59.86007870572803
02300315,4888,311,446,184,518,1715,721,495,498,2335,2892,100.0,6.362520458265139,9.124386252045827,3.764320785597381,10.597381342062192,35.08592471358429,14.750409165302782,10.12684124386252,10.188216039279869,47.77004909983633,59.16530278232406
02300316,2089,106,177,67,169,798,311,218,243,1023,1248,100.0,5.074198180947822,8.472953566299665,3.207276208712303,8.089995213020584,38.20009573958832,14.88750598372427,10.435615126854955,11.632359980852081,48.970799425562475,59.74150311153662
